Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Latitude,Longitude,geometry,zipcode,PO
PD201800174484,02/16/2018 07:09:00 PM,20180155542,B,93,Traffic Violation,3,CITATION - TRAFFIC,600,ALBANY DR ,521B,H,23,36.21,-86.6,POINT (-86.59999999999999 36.21),37076,HERMITAGE
PD201800174650,02/16/2018 08:02:00 PM,20180155684,B,93,Traffic Violation,9,SUBJECT WARNED,5800.0,OLD HICKORY BLVD ,5F34,H,21,36.169,-86.601,POINT (-86.601 36.169),37076,HERMITAGE
PD201800175038,02/16/2018 10:16:00 PM,20180156001,B,3,Administrative/Special Assignment,6,ASSISTED OTHER UNIT,3700.0,JAMES KAY LN ,521B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800174217,02/16/2018 05:58:00 PM,20180155321,B,87,Safety Hazard,3,CITATION - TRAFFIC,0.0,MM 221 4 I40 E,5122,H,23,36.17,-86.591,POINT (-86.59100000000001 36.17),37076,HERMITAGE
PD201800173907,02/16/2018 04:19:00 PM,20180155047,B,93,Traffic Violation,9,SUBJECT WARNED,1300.0,TULIP GROVE RD ,521B,H,23,36.175,-86.596,POINT (-86.596 36.175),37076,HERMITAGE
PD201800174595,02/16/2018 07:41:00 PM,20180155635,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,500.0,DEBBIE DR ,523B,H,23,36.21,-86.585,POINT (-86.58499999999999 36.21),37076,HERMITAGE
PD201800174695,02/16/2018 08:13:00 PM,20180155710,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,CENTRAL PKE & OLD HICKORY BLVD,5F36,H,21,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
PD201800174666,02/16/2018 08:06:00 PM,20180156242,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,0.0,LEBANON PKE & JACKSONIAN DR,523C,H,21,36.193,-86.624,POINT (-86.624 36.193),37076,HERMITAGE
PD201800174681,02/16/2018 08:10:00 PM,20180155701,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,5700.0,CHESTNUTWOOD TRL ,523B,H,23,36.161,-86.577,POINT (-86.57700000000001 36.161),37076,HERMITAGE
PD201800174730,02/16/2018 08:32:00 PM,20180155741,B,15,Community Policing Activity,15,COMMUNITY POLICING,4100.0,LEBANON PKE ,522B,H,21,36.199,-86.619,POINT (-86.619 36.199),37076,HERMITAGE
PD201800175046,02/16/2018 10:17:00 PM,20180156250,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3900.0,BELL RD ,521C,H,21,36.167,-86.606,POINT (-86.60600000000001 36.167),37076,HERMITAGE
PD201800173430,02/16/2018 01:23:00 PM,20180154745,A,49,Vehicle Blocking Right of Way,3,CITATION - TRAFFIC,100.0,SUMMIT RUN PL ,523A,H,23,36.19,-86.604,POINT (-86.604 36.19),37076,HERMITAGE
PD201800173998,02/16/2018 04:52:00 PM,20180155121,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,ROCKWOOD DR & TULIP GROVE RD,521B,H,23,36.176,-86.595,POINT (-86.595 36.176),37076,HERMITAGE
PD201800174710,02/16/2018 08:22:00 PM,20180155726,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & OLD HICKORY BLVD,5F34,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800173786,02/16/2018 03:34:00 PM,20180154955,B,35,Mentally ILL Person,6,ASSISTED OTHER UNIT,100.0,BELGIUM CT ,521B,H,23,36.202,-86.599,POINT (-86.59899999999999 36.202),37076,HERMITAGE
PD201800173891,02/16/2018 04:13:00 PM,20180155057,B,70,Burglary - Residence,6,ASSISTED OTHER UNIT,100.0,TULIP GROVE PT ,522B,H,23,36.18,-86.597,POINT (-86.59700000000001 36.18),37076,HERMITAGE
PD201800174137,02/16/2018 05:35:00 PM,20180155247,B,15,Community Policing Activity,12,LOCATION/BUILDING SECURE,3700.0,BELL RD ,2945,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
PD201800174151,02/16/2018 05:39:00 PM,20180155313,B,57,Fight / Assault,5,GONE ON ARRIVAL,5600.0,FRIST BLVD ,521B,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800174764,02/16/2018 08:43:00 PM,0,B,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,400.0,ROCKWOOD DR ,,H,23,36.176,-86.596,POINT (-86.596 36.176),37076,HERMITAGE
PD201800174990,02/16/2018 09:59:00 PM,20180155966,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,5700.0,OLD HICKORY BLVD ,523B,H,23,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
PD201800175107,02/16/2018 10:42:00 PM,20180156049,B,3,Administrative/Special Assignment,6,ASSISTED OTHER UNIT,3700.0,JAMES KAY LN ,511B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800175032,02/16/2018 10:12:00 PM,20180155995,B,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,515B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800174516,02/16/2018 07:18:00 PM,0,B,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,3700.0,JAMES KAY LN ,,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800173638,02/16/2018 02:44:00 PM,20180155539,A,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,3900.0,BELL RD ,521B,H,21,36.165,-86.604,POINT (-86.604 36.165),37076,HERMITAGE
PD201800174561,02/16/2018 07:29:00 PM,20180155603,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,100.0,BELGIUM CT ,523B,H,23,36.202,-86.6,POINT (-86.59999999999999 36.202),37076,HERMITAGE
PD201800175080,02/16/2018 10:29:00 PM,20180156029,B,96,Business Check,12,LOCATION/BUILDING SECURE,3500.0,CENTRAL PKE ,517B,H,21,36.186,-86.629,POINT (-86.62899999999999 36.186),37076,HERMITAGE
PD201800175062,02/16/2018 10:22:00 PM,20180156016,B,96,Business Check,15,COMMUNITY POLICING,5800.0,OLD HICKORY BLVD ,523B,H,21,36.169,-86.601,POINT (-86.601 36.169),37076,HERMITAGE
PD201800173829,02/16/2018 03:49:00 PM,20180154973,B,15,Community Policing Activity,15,COMMUNITY POLICING,400.0,TYLER DR ,522B,H,23,36.199,-86.612,POINT (-86.61200000000001 36.199),37076,HERMITAGE
PD201800173682,02/16/2018 02:57:00 PM,20180154828,A,96,Business Check,15,COMMUNITY POLICING,5800.0,OLD HICKORY BLVD ,521B,H,21,36.167,-86.6,POINT (-86.59999999999999 36.167),37076,HERMITAGE
PD201800174290,02/16/2018 06:15:00 PM,20180155384,B,71,Burglary - Non-Residence,6,ASSISTED OTHER UNIT,4700.0,LEBANON PKE ,522B,H,25,36.217,-86.592,POINT (-86.59200000000001 36.217),37076,HERMITAGE
PD201800175047,02/16/2018 10:18:00 PM,20180156006,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,2000.0,HERMITAGE PARK DR ,523B,H,23,36.167,-86.595,POINT (-86.595 36.167),37076,HERMITAGE
PD201800174849,02/16/2018 09:13:00 PM,20180155838,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & OLD HICKORY BLVD,5F36,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800174562,02/16/2018 07:29:00 PM,20180155604,B,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,100.0,BELGIUM CT ,523B,H,23,36.202,-86.6,POINT (-86.59999999999999 36.202),37076,HERMITAGE
PD201800174762,02/16/2018 08:41:00 PM,20180155757,B,93,Traffic Violation,6,ASSISTED OTHER UNIT,0.0,LEBANON PKE & OLD HICKORY BLVD,5F34,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800174046,02/16/2018 05:04:00 PM,20180155169,B,45,Vehicle Accident - Property Damage,5,GONE ON ARRIVAL,0.0,MM 222 0 I40 E,522B,H,23,36.169,-86.58,POINT (-86.58 36.169),37076,HERMITAGE
PD201800175200,02/16/2018 11:20:00 PM,20180156193,,44,Disorderly Person,5,GONE ON ARRIVAL,4100.0,STONE HALL BLVD ,521C,H,21,36.188,-86.634,POINT (-86.634 36.188),37076,HERMITAGE
PD201800174383,02/16/2018 06:39:00 PM,20180155454,B,96,Business Check,15,COMMUNITY POLICING,300.0,OLD LEBANON DIRT RD ,5F34,H,21,36.191,-86.615,POINT (-86.61499999999999 36.191),37076,HERMITAGE
PD201800173642,02/16/2018 02:45:00 PM,20180154799,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,523B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800173761,02/16/2018 03:25:00 PM,20180154913,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,ROCKWOOD DR & TULIP GROVE RD,521B,H,23,36.176,-86.595,POINT (-86.595 36.176),37076,HERMITAGE
PD201800173583,02/16/2018 02:19:00 PM,20180155240,A,43,Want Officer for Investigation / Assistance,8,ADVISED IN CIVIL CASE,300.0,BONNAVALE DR ,521B,H,21,36.208,-86.63,POINT (-86.63 36.208),37076,HERMITAGE
PD201800173520,02/16/2018 01:51:00 PM,20180154732,A,96,Business Check,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,523A,H,21,36.193,-86.616,POINT (-86.616 36.193),37076,HERMITAGE
PD201800173418,02/16/2018 01:19:00 PM,20180154660,A,3,Administrative/Special Assignment,6,ASSISTED OTHER UNIT,3700.0,JAMES KAY LN ,5F22,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800173452,02/16/2018 01:30:00 PM,20180154688,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,535A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800173432,02/16/2018 01:24:00 PM,20180154670,A,93,Traffic Violation,3,CITATION - TRAFFIC,0.0,TYLER DR & ANDREW JACKSON PKWY,523A,H,21,36.197,-86.609,POINT (-86.60899999999999 36.197),37076,HERMITAGE
PD201800174410,02/16/2018 06:49:00 PM,20180155481,B,93,Traffic Violation,9,SUBJECT WARNED,500.0,DUTCHMANS DR ,521B,H,23,36.204,-86.602,POINT (-86.602 36.204),37076,HERMITAGE
PD201800173723,02/16/2018 03:10:00 PM,20180154869,B,3,Administrative/Special Assignment,1,M.P.D. REPORT COMPLED,3700.0,JAMES KAY LN ,525B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800174513,02/16/2018 07:17:00 PM,20180155564,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & TULIP GROVE RD,522B,H,23,36.215,-86.589,POINT (-86.589 36.215),37076,HERMITAGE
PD201800174013,02/16/2018 04:56:00 PM,20180155132,B,15,Community Policing Activity,15,COMMUNITY POLICING,4400.0,LEBANON PKE ,522B,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800173498,02/16/2018 01:43:00 PM,20180154717,A,50,Theft,3,CITATION - TRAFFIC,4400.0,LEBANON PKE ,521A,H,25,36.216,-86.604,POINT (-86.604 36.216),37076,HERMITAGE
PD201800173928,02/16/2018 04:27:00 PM,0,B,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,3900.0,DODSON CHAPEL RD ,,H,21,36.171,-86.615,POINT (-86.61499999999999 36.171),37076,HERMITAGE
PD201800174784,02/16/2018 08:50:00 PM,20180155781,B,83,Shots Fired,5,GONE ON ARRIVAL,1800.0,BROOKMEADOW LN ,523B,H,25,36.22,-86.592,POINT (-86.59200000000001 36.22),37076,HERMITAGE
PD201800173937,02/16/2018 04:31:00 PM,20180155073,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,1700.0,BAKERS GROVE RD ,3F43,S,35,36.106,-86.554,POINT (-86.554 36.106),37076,HERMITAGE
PD201800174533,02/16/2018 07:22:00 PM,20180155581,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & BURNING TRE,5F34,H,21,36.175,-86.603,POINT (-86.60299999999999 36.175),37076,HERMITAGE
PD201800174625,02/16/2018 07:54:00 PM,20180155666,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,SHUTE LN & LEBANON PKE,5F36,H,23,36.215,-86.605,POINT (-86.605 36.215),37076,HERMITAGE
PD201800174575,02/16/2018 07:35:00 PM,20180155639,B,40,Suspicious Person,5,GONE ON ARRIVAL,1200.0,JACKSONS HILL RD ,525B,H,23,36.185,-86.604,POINT (-86.604 36.185),37076,HERMITAGE
PD201800177005,02/17/2018 03:53:00 PM,20180157681,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,300.0,BURNING TREE DR ,523B,H,23,36.175,-86.601,POINT (-86.601 36.175),37076,HERMITAGE
PD201800176713,02/17/2018 01:16:00 PM,20180157471,A,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,0.0,CENTRAL PKE & OLD HICKORY BLVD,515A,H,21,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
PD201800176186,02/17/2018 07:58:00 AM,20180157061,A,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,3100.0,EARHART RD ,523A,H,23,36.167,-86.571,POINT (-86.571 36.167),37076,HERMITAGE
PD201800176020,02/17/2018 05:55:00 AM,20180156904,C,45,Vehicle Accident - Property Damage,6,ASSISTED OTHER UNIT,0.0,MM 219 6 I40 W,531C,H,21,36.161,-86.621,POINT (-86.62100000000001 36.161),37076,HERMITAGE
PD201800177094,02/17/2018 04:42:00 PM,20180157761,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,5700.0,OLD HICKORY BLVD ,523B,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800176813,02/17/2018 02:08:00 PM,20180157537,A,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & OLD HICKORY BLVD,525A,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800176440,02/17/2018 10:24:00 AM,20180157258,A,87,Safety Hazard,11,DISREGARD / SIGNAL 9,4000.0,LEBANON PKE ,521A,H,21,36.196,-86.621,POINT (-86.62100000000001 36.196),37076,HERMITAGE
PD201800175364,02/17/2018 12:14:00 AM,20180156294,C,71,Burglary - Non-Residence,12,LOCATION/BUILDING SECURE,4400.0,LEBANON PKE ,523C,H,23,36.214,-86.599,POINT (-86.59899999999999 36.214),37076,HERMITAGE
PD201800176408,02/17/2018 10:06:00 AM,20180157243,A,71,Burglary - Non-Residence,13,FALSE CALL,1300.0,TULIP GROVE RD ,532A,H,23,36.175,-86.596,POINT (-86.596 36.175),37076,HERMITAGE
PD201800177075,02/17/2018 04:30:00 PM,20180157740,B,96,Business Check,12,LOCATION/BUILDING SECURE,400.0,TYLER DR ,523B,H,23,36.199,-86.612,POINT (-86.61200000000001 36.199),37076,HERMITAGE
PD201800177055,02/17/2018 04:20:00 PM,20180157722,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,4700.0,LEBANON PKE ,523B,H,23,36.214,-86.595,POINT (-86.595 36.214),37076,HERMITAGE
PD201800176547,02/17/2018 11:41:00 AM,20180157601,A,43,Want Officer for Investigation / Assistance,10,NO RESPONSE,3900.0,DODSON CHAPEL RD ,TE06,H,21,36.171,-86.615,POINT (-86.61499999999999 36.171),37076,HERMITAGE
PD201800176682,02/17/2018 01:00:00 PM,20180157446,A,83,Shots Fired,10,NO RESPONSE,4500.0,BROOKE VALLEY DR ,533A,H,23,36.176,-86.587,POINT (-86.587 36.176),37076,HERMITAGE
PD201800175409,02/17/2018 12:30:00 AM,20180156404,C,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3900.0,BELL RD ,525C,H,21,36.167,-86.606,POINT (-86.60600000000001 36.167),37076,HERMITAGE
PD201800176986,02/17/2018 03:44:00 PM,20180157663,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,5900.0,OLD HICKORY BLVD ,523B,H,23,36.166,-86.598,POINT (-86.598 36.166),37076,HERMITAGE
PD201800176403,02/17/2018 10:01:00 AM,20180157235,A,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,5000.0,WALDEN WOODS DR ,515A,H,23,36.195,-86.59,POINT (-86.59 36.195),37076,HERMITAGE
PD201800176409,02/17/2018 10:06:00 AM,20180157241,A,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,HOBSON PIKE BRIDGE,333A,S,35,36.086,-86.564,POINT (-86.56399999999999 36.086),37076,HERMITAGE
PD201800175802,02/17/2018 03:19:00 AM,0,C,44,Disorderly Person,11,DISREGARD / SIGNAL 9,1400.0,PRINCETON PL ,,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800176172,02/17/2018 07:49:00 AM,20180157046,A,96,Business Check,4,ASSISTED CITIZEN,4000.0,LEBANON PKE ,523A,H,21,36.197,-86.622,POINT (-86.62200000000001 36.197),37076,HERMITAGE
PD201800177190,02/17/2018 05:13:00 PM,20180157835,B,96,Business Check,12,LOCATION/BUILDING SECURE,4600.0,LEBANON PKE ,521B,H,25,36.216,-86.596,POINT (-86.596 36.216),37076,HERMITAGE
PD201800175676,02/17/2018 02:16:00 AM,20180156606,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & CENTRAL PKE,521C,H,21,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
PD201800175997,02/17/2018 05:25:00 AM,20180156880,C,46,Vehicle Accident - Personal Injury,11,DISREGARD / SIGNAL 9,0.0,MM 220 0 I40 E,532C,H,21,36.165,-86.614,POINT (-86.61399999999999 36.165),37076,HERMITAGE
PD201800177173,02/17/2018 05:08:00 PM,20180157819,B,46,Vehicle Accident - Personal Injury,11,DISREGARD / SIGNAL 9,0.0,OLD LEBANON DIRT RD & RACHELS ,523B,H,23,36.189,-86.596,POINT (-86.596 36.189),37076,HERMITAGE
PD201800176670,02/17/2018 12:52:00 PM,20180157438,A,15,Community Policing Activity,15,COMMUNITY POLICING,5000.0,OLD HICKORY BLVD ,511A,H,21,36.194,-86.617,POINT (-86.617 36.194),37076,HERMITAGE
PD201800176439,02/17/2018 10:23:00 AM,20180157256,A,96,Business Check,12,LOCATION/BUILDING SECURE,300.0,OLD LEBANON DIRT RD ,532A,H,21,36.191,-86.615,POINT (-86.61499999999999 36.191),37076,HERMITAGE
PD201800176614,02/17/2018 12:19:00 PM,20180157397,A,71,Burglary - Non-Residence,11,DISREGARD / SIGNAL 9,4800.0,LEBANON PKE ,535A,H,23,36.215,-86.587,POINT (-86.587 36.215),37076,HERMITAGE
PD201800176823,02/17/2018 02:12:00 PM,20180157543,A,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,0.0,I40 W EXT RAMP & OLD HICKORY B,522A,H,21,36.171,-86.602,POINT (-86.602 36.171),37076,HERMITAGE
PD201800176869,02/17/2018 02:36:00 PM,20180157563,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & LEBANON PKE,522A,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800176183,02/17/2018 07:55:00 AM,20180157055,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,511A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800176826,02/17/2018 02:13:00 PM,20180157546,A,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,4400.0,LEBANON PKE ,522B,H,25,36.216,-86.604,POINT (-86.604 36.216),37076,HERMITAGE
PD201800175769,02/17/2018 03:02:00 AM,20180156690,C,71,Burglary - Non-Residence,12,LOCATION/BUILDING SECURE,4400.0,LEBANON PKE ,523C,H,23,36.214,-86.599,POINT (-86.59899999999999 36.214),37076,HERMITAGE
PD201800176621,02/17/2018 12:25:00 PM,20180157402,A,93,Traffic Violation,9,SUBJECT WARNED,3400.0,LEBANON PKE ,511A,H,21,36.189,-86.627,POINT (-86.62700000000001 36.189),37076,HERMITAGE
PD201800177095,02/17/2018 04:42:00 PM,0,B,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,200.0,SCOTTS CREEK TRL ,,H,23,36.204,-86.593,POINT (-86.59299999999999 36.204),37076,HERMITAGE
PD201800176384,02/17/2018 09:51:00 AM,20180157220,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,100.0,JACKSONIAN DR ,521A,H,21,36.203,-86.635,POINT (-86.63500000000001 36.203),37076,HERMITAGE
PD201800176475,02/17/2018 10:48:00 AM,20180157308,A,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,5500.0,OLD HICKORY BLVD ,513A,H,23,36.182,-86.605,POINT (-86.605 36.182),37076,HERMITAGE
PD201800176030,02/17/2018 05:59:00 AM,20180156909,C,43,Want Officer for Investigation / Assistance,1,M.P.D. REPORT COMPLED,1400.0,PRINCETON PL ,525C,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800175986,02/17/2018 05:12:00 AM,0,C,44,Disorderly Person,11,DISREGARD / SIGNAL 9,1400.0,PRINCETON PL ,,H,21,36.173,-86.603,POINT (-86.60299999999999 36.173),37076,HERMITAGE
PD201800175588,02/17/2018 01:33:00 AM,20180156529,C,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3400.0,LEBANON PKE ,525C,H,21,36.192,-86.625,POINT (-86.625 36.192),37076,HERMITAGE
PD201800176882,02/17/2018 02:44:00 PM,20180157567,A,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,300.0,OLD LEBANON DIRT RD ,331A,H,21,36.191,-86.613,POINT (-86.613 36.191),37076,HERMITAGE
PD201800176452,02/17/2018 10:34:00 AM,20180157266,A,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,3800.0,LEBANON PKE ,525A,H,21,36.193,-86.623,POINT (-86.62299999999999 36.193),37076,HERMITAGE
PD201800175599,02/17/2018 01:38:00 AM,20180156530,C,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3900.0,BELL RD ,521C,H,21,36.167,-86.605,POINT (-86.605 36.167),37076,HERMITAGE
PD201800175640,02/17/2018 01:56:00 AM,20180156567,C,44,Disorderly Person,6,ASSISTED OTHER UNIT,1400.0,PRINCETON PL ,520C,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800176565,02/17/2018 11:54:00 AM,20180157361,A,87,Safety Hazard,6,ASSISTED OTHER UNIT,0.0,OLD HICKORY BLVD & LEBANON PKE,513A,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800175995,02/17/2018 05:22:00 AM,20180156876,C,46,Vehicle Accident - Personal Injury,6,ASSISTED OTHER UNIT,0.0,EXIT 221A I40 E,535C,H,21,36.166,-86.612,POINT (-86.61200000000001 36.166),37076,HERMITAGE
PD201800176339,02/17/2018 09:22:00 AM,20180157192,A,88,Investigate 911 Hang-Up Call,5,GONE ON ARRIVAL,4000.0,SELLS DR ,523A,H,23,36.169,-86.595,POINT (-86.595 36.169),37076,HERMITAGE
PD201800176489,02/17/2018 10:58:00 AM,20180157316,A,63,Suicidal Person,10,NO RESPONSE,500.0,TULIP GROVE RD ,515A,H,23,36.208,-86.59,POINT (-86.59 36.208),37076,HERMITAGE
PD201800176892,02/17/2018 02:50:00 PM,20180157574,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,521B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
